topology,oracle,adoption_fraction,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,none,0.25,0.577,0.015622771841129857,13.403,0.0,0.423,1000
complete,frozen0.7,0.25,0.766,0.013388203763014663,22.819,0.0,0.234,1000
complete,live,0.25,0.574,0.015637263187655313,13.037,0.0,0.426,1000
complete,frozen0.7,0.5,0.816,0.012253326079069309,20.977,0.0,0.184,1000
complete,live,0.5,0.576,0.015627667772255716,13.342,0.0,0.424,1000
complete,frozen0.7,0.75,0.854,0.011166198995181844,19.817,0.0,0.146,1000
complete,live,0.75,0.591,0.015547314880711718,12.785,0.0,0.409,1000
complete,frozen0.7,1.0,0.858,0.011037934589405756,16.789,0.0,0.142,1000
complete,live,1.0,0.579,0.015612783224012303,12.995,0.0,0.421,1000
cycle,none,0.25,0.858,0.011037934589405756,178.27,0.004,0.138,1000
cycle,frozen0.7,0.25,0.965,0.005811626278418119,153.56,0.001,0.034,1000
cycle,live,0.25,0.855,0.011134406135937382,142.027,0.003,0.142,1000
cycle,frozen0.7,0.5,0.989,0.0032983329122452166,109.53,0.0,0.011,1000
cycle,live,0.5,0.83,0.0118785521003193,111.909,0.0,0.17,1000
cycle,frozen0.7,0.75,0.998,0.0014127986409959495,67.862,0.0,0.002,1000
cycle,live,0.75,0.811,0.012380589646701,84.752,0.0,0.189,1000
cycle,frozen0.7,1.0,0.994,0.002442130217658347,45.477,0.0,0.006,1000
cycle,live,1.0,0.829,0.011906258858264422,70.001,0.0,0.171,1000
