topology,endogenous_trust,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,False,0.1,0.237,0.013447341744746431,186.327,0.217,0.546,1000
complete,False,0.2,0.351,0.015093011627902497,118.084,0.129,0.52,1000
complete,False,0.3,0.474,0.01578999683343857,46.266,0.032,0.494,1000
complete,False,0.35,0.54,0.015760710643876435,25.678,0.003,0.457,1000
complete,False,0.4,0.575,0.015632498200863484,19.182,0.0,0.425,1000
complete,False,0.45,0.609,0.015431104950715617,18.292,0.0,0.391,1000
complete,False,0.5,0.671,0.014857960829131297,17.58,0.0,0.329,1000
complete,False,0.55,0.758,0.013543854695026818,18.318,0.0,0.242,1000
complete,False,0.6,0.818,0.01220147532063234,19.328,0.0,0.182,1000
complete,False,0.65,0.872,0.010564847372300274,19.961,0.0,0.128,1000
complete,False,0.7,0.921,0.008529888627643386,20.013,0.0,0.079,1000
complete,False,0.8,0.992,0.0028170906978654425,20.357,0.0,0.008,1000
complete,False,0.9,1.0,0.0,19.716,0.0,0.0,1000
complete,True,0.1,0.365,0.015224158433227107,94.903,0.096,0.539,1000
complete,True,0.2,0.444,0.015711906313366306,57.026,0.042,0.514,1000
complete,True,0.3,0.504,0.01581088232832058,24.538,0.006,0.49,1000
complete,True,0.35,0.547,0.015741378592740853,19.904,0.002,0.451,1000
complete,True,0.4,0.572,0.015646597074124458,17.139,0.0,0.428,1000
complete,True,0.45,0.598,0.015504708962118573,17.4,0.0,0.402,1000
complete,True,0.5,0.649,0.015093011627902497,17.227,0.0,0.351,1000
complete,True,0.55,0.702,0.01446360950800318,17.295,0.0,0.298,1000
complete,True,0.6,0.749,0.013711272734505722,17.398,0.0,0.251,1000
complete,True,0.65,0.787,0.012947239087929132,18.019,0.0,0.213,1000
complete,True,0.7,0.809,0.012430567163247216,17.785,0.0,0.191,1000
complete,True,0.8,0.856,0.011102432165971564,17.606,0.0,0.144,1000
complete,True,0.9,0.872,0.010564847372300274,17.477,0.0,0.128,1000
cycle,False,0.1,0.0,0.0,443.338,0.537,0.463,1000
cycle,False,0.2,0.002,0.0014127986409959489,457.946,0.555,0.443,1000
cycle,False,0.3,0.011,0.003298332912245215,490.732,0.592,0.397,1000
cycle,False,0.35,0.035,0.005811626278418116,504.204,0.606,0.359,1000
cycle,False,0.4,0.125,0.010458250331675944,500.185,0.593,0.282,1000
cycle,False,0.45,0.429,0.015651166090742248,380.832,0.372,0.199,1000
cycle,False,0.5,0.83,0.0118785521003193,187.328,0.041,0.129,1000
cycle,False,0.55,0.935,0.0077958322198467015,101.753,0.0,0.065,1000
cycle,False,0.6,0.969,0.005480784615363026,78.382,0.0,0.031,1000
cycle,False,0.65,0.99,0.003146426544510456,73.097,0.0,0.01,1000
cycle,False,0.7,0.996,0.0019959959919799443,70.585,0.0,0.004,1000
cycle,False,0.8,0.999,0.0009994998749374613,64.29,0.0,0.001,1000
cycle,False,0.9,1.0,0.0,60.996,0.0,0.0,1000
cycle,True,0.1,0.003,0.001729450779872038,451.098,0.546,0.451,1000
cycle,True,0.2,0.009,0.002986469487538756,461.809,0.557,0.434,1000
cycle,True,0.3,0.026,0.0050322956987840055,496.345,0.599,0.375,1000
cycle,True,0.35,0.08,0.008579044235810887,494.462,0.589,0.331,1000
cycle,True,0.4,0.212,0.012925014506761685,462.815,0.523,0.265,1000
cycle,True,0.45,0.525,0.015791611697353755,348.129,0.285,0.19,1000
cycle,True,0.5,0.846,0.011414201680362933,176.84,0.028,0.126,1000
cycle,True,0.55,0.932,0.00796090447122687,113.743,0.001,0.067,1000
cycle,True,0.6,0.958,0.006343185319695463,90.409,0.001,0.041,1000
cycle,True,0.65,0.98,0.0044271887242357325,80.061,0.0,0.02,1000
cycle,True,0.7,0.993,0.002636474919281427,72.337,0.0,0.007,1000
cycle,True,0.8,0.998,0.0014127986409959495,67.277,0.0,0.002,1000
cycle,True,0.9,0.994,0.002442130217658347,66.48,0.0,0.006,1000
