epsilon,n_agents,oracle_tau,rel_shared,rel_independent,penalty
0.03,10,0.5,0.556,0.573,0.016999999999999904
0.03,10,1.0,0.63,0.742,0.11199999999999999
0.03,10,2.0,0.754,0.965,0.21099999999999997
0.03,20,0.5,0.532,0.56,0.028000000000000025
0.03,20,1.0,0.621,0.723,0.10199999999999998
0.03,20,2.0,0.715,0.96,0.245
0.05,10,0.5,0.658,0.706,0.04799999999999993
0.05,10,1.0,0.741,0.841,0.09999999999999998
0.05,10,2.0,0.825,0.981,0.15600000000000003
0.05,20,0.5,0.704,0.707,0.0030000000000000027
0.05,20,1.0,0.753,0.859,0.10599999999999998
0.05,20,2.0,0.82,0.987,0.16700000000000004
0.08,10,0.5,0.801,0.823,0.02199999999999991
0.08,10,1.0,0.845,0.903,0.05800000000000005
0.08,10,2.0,0.891,0.991,0.09999999999999998
0.08,20,0.5,0.843,0.869,0.026000000000000023
0.08,20,1.0,0.881,0.943,0.061999999999999944
0.08,20,2.0,0.912,0.992,0.07999999999999996
