topology,adoption_fraction,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,0.0,0.0,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.05,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.1,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.15,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.2,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.25,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.3,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.35,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.4,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.45,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.5,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.55,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.6,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.65,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.7,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.75,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.8,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.85,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.9,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,0.95,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.0,1.0,0.558,0.01570464899321217,13.365,0.0,0.442,1000
complete,0.25,0.0,0.542,0.015755506973753653,17.336,0.0,0.458,1000
complete,0.25,0.05,0.539,0.015763216676808068,16.066,0.0,0.461,1000
complete,0.25,0.1,0.553,0.01572230899073034,15.769,0.0,0.447,1000
complete,0.25,0.15,0.546,0.015744332313566048,14.965,0.0,0.454,1000
complete,0.25,0.2,0.549,0.01573527883451704,14.538,0.0,0.451,1000
complete,0.25,0.25,0.561,0.015693278816104682,14.412,0.0,0.439,1000
complete,0.25,0.3,0.568,0.01566448211719749,14.028,0.0,0.432,1000
complete,0.25,0.35,0.578,0.015617810345883958,14.026,0.0,0.422,1000
complete,0.25,0.4,0.584,0.015586660963785668,13.865,0.0,0.416,1000
complete,0.25,0.45,0.595,0.015523369479594306,14.018,0.0,0.405,1000
complete,0.25,0.5,0.61,0.01542400726140908,14.428,0.0,0.39,1000
complete,0.25,0.55,0.641,0.01516967369457893,15.444,0.0,0.359,1000
complete,0.25,0.6,0.682,0.014726710426975875,17.772,0.0,0.318,1000
complete,0.25,0.65,0.733,0.013989674763910703,19.791,0.0,0.267,1000
complete,0.25,0.7,0.766,0.013388203763014663,22.819,0.0,0.234,1000
complete,0.25,0.75,0.818,0.01220147532063234,24.665,0.0,0.182,1000
complete,0.25,0.8,0.85,0.011291589790636216,26.87,0.0,0.15,1000
complete,0.25,0.85,0.887,0.010011543337567888,29.573,0.0,0.113,1000
complete,0.25,0.9,0.915,0.008819013550278736,30.228,0.0,0.085,1000
