topology,shared,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,True,0.0,0.306,0.0145727142289966,12.871,0.0,0.694,1000
complete,True,0.05,0.333,0.014903388876359632,13.069,0.0,0.667,1000
complete,True,0.1,0.368,0.015250442616527561,13.189,0.0,0.632,1000
complete,True,0.15,0.409,0.015547314880711717,13.429,0.0,0.591,1000
complete,True,0.2,0.427,0.015641962792437524,13.507,0.0,0.573,1000
complete,True,0.25,0.465,0.01577260282895629,13.692,0.0,0.535,1000
complete,True,0.3,0.504,0.01581088232832058,14.004,0.0,0.496,1000
complete,True,0.35,0.531,0.01578096955196353,14.165,0.0,0.469,1000
complete,True,0.4,0.557,0.015708309902723462,14.631,0.0,0.443,1000
complete,True,0.45,0.598,0.015504708962118573,14.873,0.0,0.402,1000
complete,True,0.5,0.629,0.015276092432294327,15.176,0.0,0.371,1000
complete,True,0.55,0.693,0.01458598642533305,15.825,0.0,0.307,1000
complete,True,0.6,0.741,0.013853483316480371,15.977,0.0,0.259,1000
complete,True,0.65,0.802,0.012601428490452976,16.559,0.0,0.198,1000
complete,True,0.7,0.858,0.011037934589405756,16.789,0.0,0.142,1000
complete,True,0.75,0.901,0.009444522221901962,16.692,0.0,0.099,1000
complete,True,0.8,0.943,0.007331507348424336,16.618,0.0,0.057,1000
complete,True,0.85,0.968,0.005565608681896351,16.543,0.0,0.032,1000
complete,True,0.9,0.987,0.0035820385257559714,16.129,0.0,0.013,1000
complete,True,0.95,0.996,0.0019959959919799443,15.519,0.0,0.004,1000
complete,True,1.0,0.999,0.0009994998749374613,14.988,0.0,0.001,1000
complete,False,0.0,0.315,0.01468928180681411,13.422,0.0,0.685,1000
complete,False,0.05,0.352,0.015102847413650183,13.677,0.0,0.648,1000
complete,False,0.1,0.373,0.015292841462592882,14.211,0.0,0.627,1000
complete,False,0.15,0.403,0.01551099609954177,14.475,0.0,0.597,1000
complete,False,0.2,0.435,0.0156772127624779,15.436,0.0,0.565,1000
complete,False,0.25,0.481,0.01579996835439869,15.357,0.0,0.519,1000
complete,False,0.3,0.508,0.015809364313595912,16.096,0.0,0.492,1000
complete,False,0.35,0.54,0.015760710643876435,17.167,0.0,0.46,1000
complete,False,0.4,0.606,0.015451990163082553,18.324,0.0,0.394,1000
complete,False,0.45,0.665,0.014925649064613572,18.837,0.0,0.335,1000
complete,False,0.5,0.707,0.014392741226048637,19.475,0.0,0.293,1000
complete,False,0.55,0.76,0.013505554412907307,20.846,0.0,0.24,1000
complete,False,0.6,0.841,0.011563693181678596,20.768,0.0,0.159,1000
complete,False,0.65,0.911,0.009004387819280108,21.447,0.0,0.089,1000
complete,False,0.7,0.959,0.006270486424512857,21.029,0.0,0.041,1000
complete,False,0.75,0.973,0.005125524363418832,19.827,0.0,0.027,1000
complete,False,0.8,0.986,0.0037153734670958734,19.069,0.0,0.014,1000
complete,False,0.85,0.997,0.0017294507798720387,17.591,0.0,0.003,1000
complete,False,0.9,0.998,0.0014127986409959495,16.818,0.0,0.002,1000
complete,False,0.95,0.999,0.0009994998749374613,15.629,0.0,0.001,1000
complete,False,1.0,0.998,0.0014127986409959495,14.823,0.0,0.002,1000
cycle,True,0.0,0.0,0.0,27.915,0.0,1.0,1000
cycle,True,0.05,0.0,0.0,34.446,0.0,1.0,1000
cycle,True,0.1,0.001,0.0009994998749374609,42.75,0.0,0.999,1000
cycle,True,0.15,0.001,0.0009994998749374609,64.441,0.002,0.997,1000
cycle,True,0.2,0.002,0.0014127986409959489,110.046,0.025,0.973,1000
cycle,True,0.25,0.01,0.003146426544510455,189.739,0.115,0.875,1000
cycle,True,0.3,0.028,0.005216895628628198,302.625,0.284,0.688,1000
