oracle_r,isolated_reliability,isolated_se,seeds
0.0,0.128,0.005282423686150137,4000
0.05,0.14825,0.005618539345328107,4000
0.1,0.1665,0.00589019842619924,4000
0.15,0.1915,0.006221489974274652,4000
0.2,0.2175,0.006522916333972098,4000
0.25,0.2415,0.0067671587464755096,4000
0.3,0.27325,0.007045999529875091,4000
0.35,0.307,0.007292993212666525,4000
0.4,0.34125,0.00749663987230279,4000
0.45,0.377,0.00766275081155586,4000
0.5,0.4215,0.007807652496109186,4000
0.55,0.46625,0.007887663429368674,4000
0.6,0.5125,0.007903223234858042,4000
0.65,0.558,0.007852324496606085,4000
0.7,0.6065,0.0077242758560268935,4000
0.75,0.65675,0.007507153879800253,4000
0.8,0.71825,0.007112786681392884,4000
0.85,0.77075,0.006646322996589918,4000
0.9,0.83,0.00593927605015965,4000
0.95,0.88275,0.005086807385285981,4000
1.0,0.9455,0.0035892112643309253,4000
