topology,epsilon,n_agents,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,0.02,10,0.3838,0.00687746406751791,14.0924,0.0,0.6162,5000
complete,0.02,20,0.4012,0.006931645692041681,12.051,0.0,0.5988,5000
complete,0.05,10,0.5754,0.0069902051472041935,13.3394,0.0,0.4246,5000
complete,0.05,20,0.6304,0.006826358326369925,11.2542,0.0,0.3696,5000
complete,0.1,10,0.7994,0.0056632082779993174,11.355,0.0,0.2006,5000
complete,0.1,20,0.8632,0.004859748141622156,9.747,0.0,0.1368,5000
cycle,0.02,10,0.3508,0.0067489163574606555,374.2774,0.2846,0.3646,5000
cycle,0.02,20,0.1142,0.004497963094557357,670.2074,0.7474,0.1384,5000
cycle,0.05,10,0.8502,0.005046978502034658,171.1144,0.0038,0.146,5000
cycle,0.05,20,0.9298,0.003613086215411972,345.1338,0.0464,0.0238,5000
cycle,0.1,10,0.9616,0.0027175518394319544,59.5698,0.0,0.0384,5000
cycle,0.1,20,0.9976,0.0006919884392097831,91.4504,0.0,0.0024,5000
wheel,0.02,10,0.5314,0.0070571104568371325,141.1712,0.039,0.4296,5000
wheel,0.02,20,0.6478,0.006755074536968485,309.9956,0.1422,0.21,5000
wheel,0.05,10,0.7946,0.005713332477635098,64.2464,0.0,0.2054,5000
wheel,0.05,20,0.9444,0.003240636974423392,104.7742,0.0002,0.0554,5000
wheel,0.1,10,0.9332,0.0035309420839203798,29.836,0.0,0.0668,5000
wheel,0.1,20,0.9926,0.001212042903531056,37.9406,0.0,0.0074,5000
er,0.02,10,0.488,0.007069031050999847,256.3002,0.1298,0.3822,5000
er,0.02,20,0.7516,0.006110604552742715,308.6866,0.09,0.1584,5000
er,0.05,10,0.826,0.005361417722953511,111.3258,0.0034,0.1706,5000
er,0.05,20,0.9506,0.003064625262572897,84.1402,0.0002,0.0492,5000
er,0.1,10,0.9456,0.003207511184703804,43.4754,0.0,0.0544,5000
er,0.1,20,0.9912,0.0013207997577225725,30.9798,0.0,0.0088,5000
ws,0.02,10,0.543,0.0070448704743238545,148.6892,0.0394,0.4176,5000
ws,0.02,20,0.5752,0.006990636022566187,441.7298,0.2582,0.1666,5000
ws,0.05,10,0.7998,0.005658974465395652,60.2784,0.0,0.2002,5000
ws,0.05,20,0.9622,0.002697078419327104,125.3276,0.0,0.0378,5000
ws,0.1,10,0.931,0.0035843827920577893,27.3058,0.0,0.069,5000
ws,0.1,20,0.995,0.0009974968671630005,40.9092,0.0,0.005,5000
ba,0.02,10,0.5212,0.007064708911200801,197.4132,0.0782,0.4006,5000
ba,0.02,20,0.5946,0.006943354232645775,447.5556,0.2624,0.143,5000
ba,0.05,10,0.8126,0.005518717967064452,81.9784,0.0002,0.1872,5000
ba,0.05,20,0.9694,0.002435719195638116,137.8552,0.0,0.0306,5000
ba,0.1,10,0.9414,0.0033216273120264404,36.121,0.0,0.0586,5000
ba,0.1,20,0.9962,0.0008701218305501851,46.824,0.0,0.0038,5000
