topology,endogenous_trust,oracle_r,reliability,se,mean_rounds,frac_none,frac_wrong,seeds
complete,False,0.2,0.347,0.006731879380975271,113.1926,0.1228,0.5302,5000
complete,False,0.35,0.523,0.007063582660378514,27.3542,0.007,0.47,5000
complete,False,0.5,0.6658,0.006670987333221373,17.3398,0.0,0.3342,5000
complete,False,0.65,0.8722,0.004721592104364798,20.0308,0.0,0.1278,5000
complete,False,0.8,0.9852,0.0017076861538350679,20.0662,0.0,0.0148,5000
complete,True,0.2,0.4426,0.0070243183299164335,48.5962,0.0326,0.5248,5000
complete,True,0.35,0.5488,0.007037308576437444,19.3606,0.0006,0.4506,5000
complete,True,0.5,0.6552,0.006721799758993122,16.863,0.0,0.3448,5000
complete,True,0.65,0.791,0.00575011304236708,18.3232,0.0,0.209,5000
complete,True,0.8,0.8668,0.004805366999512108,18.0812,0.0,0.1332,5000
cycle,False,0.2,0.002,0.0006318227599572526,447.4104,0.5404,0.4576,5000
cycle,False,0.35,0.0352,0.0026061834164156595,507.512,0.6134,0.3514,5000
cycle,False,0.5,0.8314,0.005294790647419404,185.1576,0.041,0.1276,5000
cycle,False,0.65,0.9882,0.0015271385005951512,74.4516,0.0,0.0118,5000
cycle,False,0.8,0.9992,0.0003998399679871993,64.5598,0.0,0.0008,5000
cycle,True,0.2,0.0082,0.0012753634776015816,462.5838,0.5588,0.433,5000
cycle,True,0.35,0.0752,0.003729476102618168,504.4226,0.6042,0.3206,5000
cycle,True,0.5,0.8516,0.005027473321659698,183.0654,0.0312,0.1172,5000
cycle,True,0.65,0.9788,0.0020371823678797143,77.5462,0.0,0.0212,5000
cycle,True,0.8,0.9928,0.0011956721958797892,66.6338,0.0,0.0072,5000
