epsilon,n_agents,oracle_tau,rel_shared,rel_independent,penalty
0.03,10,0.5,0.5272,0.5506,0.023399999999999976
0.03,10,1.0,0.6198,0.732,0.11219999999999997
0.03,10,2.0,0.735,0.9634,0.22840000000000005
0.03,20,0.5,0.5386,0.567,0.02839999999999998
0.03,20,1.0,0.6114,0.7298,0.11839999999999995
0.03,20,2.0,0.7108,0.967,0.2562
0.05,10,0.5,0.6548,0.6802,0.025399999999999978
0.05,10,1.0,0.7292,0.8298,0.10060000000000002
0.05,10,2.0,0.8178,0.9808,0.16300000000000003
0.05,20,0.5,0.6912,0.7016,0.010399999999999965
0.05,20,1.0,0.7416,0.8482,0.10659999999999992
0.05,20,2.0,0.8118,0.9834,0.17160000000000009
0.08,10,0.5,0.7948,0.8078,0.013000000000000012
0.08,10,1.0,0.845,0.9108,0.06580000000000008
0.08,10,2.0,0.8934,0.9906,0.09720000000000006
0.08,20,0.5,0.8342,0.8482,0.013999999999999901
0.08,20,1.0,0.8702,0.931,0.060800000000000076
0.08,20,2.0,0.9062,0.9938,0.08760000000000001
